,lat,lon
0,39.0299534251872,-77.11539063477083
1,39.181800882385616,-77.21278076244081
2,39.0299534251872,-77.11539063477083
4,39.168590893840786,-77.20836375813118
5,39.08801831806703,-76.94002257097797
6,39.04116244771507,-76.98715692096302
8,39.17462855270543,-77.19603951011811
10,38.99225181805574,-77.10114348643532
11,39.131483863502964,-77.19034489424229
12,39.09060046855978,-77.0796945378819
13,39.17452065555488,-77.20734198311723
15,39.15615212577153,-77.16820228429644
16,39.07185531507379,-77.13309776243811
17,39.10544781339771,-76.92298848939751
18,39.01572207905044,-76.97661599120227
19,39.17177763023706,-77.20395720872483
22,39.13338634450061,-77.20428138566777
25,39.1249059181923,-77.20358524115642
27,38.82645747817937,-77.0035162664158
29,39.1408155028754,-77.19585799345943
30,39.10051028622062,-76.92212647537585
31,38.99002922573902,-77.033470777351
32,39.09060046855978,-77.0796945378819
35,39.087154924077396,-77.20968016994789
37,39.19579849627798,-77.19288662037722
39,39.19955181485753,-77.2453341452775
40,38.979291503292146,-77.09314506507103
43,39.09149410436596,-77.04350575605609
45,38.9990168299634,-76.99739812427333
46,39.09624359457865,-76.9232908365282
47,39.20204095614545,-77.25819787355418
48,39.08868640779125,-77.15367798728354
50,38.99308888891505,-77.02436783086974
51,38.99293322398953,-77.04757573342678
53,39.07185531507379,-77.13309776243811
54,39.063507035237684,-77.05092041437156
55,38.9990168299634,-76.99739812427333
56,39.11828115486194,-77.24963021540873
57,39.123041712303944,-77.24766941482092
60,39.153034171919714,-77.26696861768441
62,39.16879994924738,-77.26340371433274
63,39.08868640779125,-77.15367798728354
64,38.9997749434831,-76.99299906737485
65,38.98833685409145,-77.09643984221579
67,39.03874022372889,-77.0507790774277
68,39.14215565237507,-77.19434520075214
71,39.039958979298994,-77.05207773714943
73,39.17507707609458,-77.20165212676618
74,39.14882750404199,-77.18675607817433
75,39.00376932912182,-76.97700392542517
76,39.100969044816125,-77.1617280716303
78,39.107905477647584,-77.1913254358494
79,39.06331246806532,-77.05003020336247
81,39.09660157238011,-76.93545633398297
82,38.97221199997627,-76.99736586501264
84,39.13298275397035,-77.20471477238928
85,39.100969044816125,-77.1617280716303
86,39.08801997371393,-77.07899502638953
87,39.03893130120379,-77.05083782483116
88,38.98156379420679,-77.09163550221483
89,38.98162390044776,-77.02218726412636
91,39.14614906831526,-77.20550593293153
92,39.11693704622101,-77.20134278415604
93,39.11693704622101,-77.20134278415604
95,39.107905477647584,-77.1913254358494
96,39.0536454867138,-77.10530903466815
98,39.14513645837175,-77.19246775723904
100,39.0922874699079,-77.00462735278288
101,38.989949778975706,-77.02904847632948
105,38.989949778975706,-77.02904847632948
106,39.13993280745543,-77.22866099938408
107,38.992461910817184,-77.09909085925419
108,39.1079092251545,-77.19116198924617
109,39.099991965889416,-77.05095677797323
110,39.07185531507379,-77.13309776243811
111,38.99114791621668,-77.0149452852926
112,39.089840489959016,-76.93840295293533
113,39.188373866611286,-77.19995292598682
115,39.03623050683517,-77.02786074191697
116,38.990982952972466,-77.02685353709298
117,38.87252130282003,-76.89217216692627
118,39.18408573878302,-77.26520794130984
119,38.9964684478043,-77.02845325460301
120,39.05307711371652,-76.97342764983269
121,39.09060046855978,-77.0796945378819
122,38.9630438053889,-77.1009608643819
123,39.04125891244694,-77.05219625469819
125,39.04715792628185,-76.9761558360325
127,39.04715792628185,-76.9761558360325
128,39.174010457836076,-77.29056544203289
129,39.05686124732229,-77.10366010331894
130,39.05686124732229,-77.10366010331894
